prestador,sede_nombre anterior,sede_nombre actual,email,direccion,telefono,naju_nombre,grse_nombre,Especialidades
14-85 DENTAL SPA S.A.S,14-85 DENTAL SPA S.A.S,Dental Spa,jfheno@hotmail.com,CARRERA 14 No. 85-68 OF 303,9261485 / 3175141407,Privada,Consulta Externa,311 -ENDODONCIA
14-85 DENTAL SPA S.A.S,14-85 DENTAL SPA S.A.S,Dental Spa,jfheno@hotmail.com,CARRERA 14 No. 85-68 OF 303,9261485 / 3175141407,Privada,Consulta Externa,338 -ORTODONCIA
14-85 DENTAL SPA S.A.S,14-85 DENTAL SPA S.A.S,Dental Spa,jfheno@hotmail.com,CARRERA 14 No. 85-68 OF 303,9261485 / 3175141407,Privada,Consulta Externa,347 -REHABILITACIÓN ORAL
14-85 DENTAL SPA S.A.S,14-85 DENTAL SPA S.A.S,Dental Spa,jfheno@hotmail.com,CARRERA 14 No. 85-68 OF 303,9261485 / 3175141407,Privada,Consulta Externa,411 -CIRUGÍA MAXILOFACIAL
14-85 DENTAL SPA S.A.S,14-85 DENTAL SPA UNICENTRO,Dental Spa Unicentro,jfheno@hotmail.com,CL 119 #14-42 LC2 PISOS 1 y 2,9371485/3175141407,Privada,Consulta Externa,311 -ENDODONCIA
14-85 DENTAL SPA S.A.S,14-85 DENTAL SPA UNICENTRO,Dental Spa Unicentro,jfheno@hotmail.com,CL 119 #14-42 LC2 PISOS 1 y 2,9371485/3175141407,Privada,Consulta Externa,338 -ORTODONCIA
14-85 DENTAL SPA S.A.S,14-85 DENTAL SPA UNICENTRO,Dental Spa Unicentro,jfheno@hotmail.com,CL 119 #14-42 LC2 PISOS 1 y 2,9371485/3175141407,Privada,Consulta Externa,343 -PERIODONCIA
14-85 DENTAL SPA S.A.S,14-85 DENTAL SPA UNICENTRO,Dental Spa Unicentro,jfheno@hotmail.com,CL 119 #14-42 LC2 PISOS 1 y 2,9371485/3175141407,Privada,Consulta Externa,347 -REHABILITACIÓN ORAL
14-85 DENTAL SPA S.A.S,14-85 DENTAL SPA UNICENTRO,Dental Spa Unicentro,jfheno@hotmail.com,CL 119 #14-42 LC2 PISOS 1 y 2,9371485/3175141407,Privada,Consulta Externa,356 -OTRAS CONSULTAS de ESPECIALIDAD - NO ONCOLÓGICO
14-85 DENTAL SPA S.A.S,14-85 DENTAL SPA UNICENTRO,Dental Spa Unicentro,jfheno@hotmail.com,CL 119 #14-42 LC2 PISOS 1 y 2,9371485/3175141407,Privada,Consulta Externa,411 -CIRUGÍA MAXILOFACIAL
